date,load,,,
2011-01-01,5092.40 ,,,
2011-01-02,5352.49 ,,,
2011-01-03,5599.83 ,,,
2011-01-04,5842.47 ,,,
2011-01-05,6086.20 ,,,
2011-01-06,6310.75 ,,,
2011-01-07,6474.88 ,,,
2011-01-08,6568.56 ,,,
2011-01-09,6619.28 ,,,
2011-01-10,6646.08 ,,,
2011-01-11,6662.67 ,,,
2011-01-12,6662.83 ,,,
2011-01-13,6674.79 ,,,
2011-01-14,6667.02 ,,,
2011-01-15,6659.36 ,,,
2011-01-16,6654.22 ,,,
2011-01-17,6645.34 ,,,
2011-01-18,6639.61 ,,,
2011-01-19,6639.17 ,,,
2011-01-20,6632.01 ,,,
2011-01-21,6652.62 ,,,
2011-01-22,6656.85 ,,,
2011-01-23,6685.74 ,,,
2011-01-24,6674.87 ,,,
2011-01-25,6648.71 ,,,
2011-01-26,6644.72 ,,,
2011-01-27,6649.92 ,,,
2011-01-28,6650.92 ,,,
2011-01-29,6668.14 ,,,
2011-01-30,6693.64 ,,,
2011-01-31,6694.33 ,,,
2011-02-01,6689.01 ,,,
2011-02-02,6662.48 ,,,
2011-02-03,6642.27 ,,,
2011-02-04,6646.21 ,,,
2011-02-05,6653.82 ,,,
2011-02-06,6665.96 ,,,
2011-02-07,6676.00 ,,,
2011-02-08,6667.02 ,,,
2011-02-09,6637.31 ,,,
2011-02-10,6620.72 ,,,
2011-02-11,6624.91 ,,,
2011-02-12,6631.61 ,,,
2011-02-13,6644.70 ,,,
2011-02-14,6637.09 ,,,
2011-02-15,6613.85 ,,,
2011-02-16,6587.86 ,,,
2011-02-17,6575.87 ,,,
2011-02-18,6567.33 ,,,
2011-02-19,6561.97 ,,,
2011-02-20,6553.94 ,,,
2011-02-21,6536.10 ,,,
2011-02-22,6511.18 ,,,
2011-02-23,6484.18 ,,,
2011-02-24,6465.73 ,,,
2011-02-25,6459.21 ,,,
2011-02-26,6457.34 ,,,
2011-02-27,6454.19 ,,,
2011-02-28,6440.77 ,,,
