"Point.Forecast","Lo.0.95","Hi.0.95"
5434.625,3695.4337011871,7173.8162988129
5434.625,2975.03707765752,7894.21292234248
5434.625,2422.25730637436,8446.99269362564
5434.625,1956.24240237421,8913.00759762579
5434.625,1545.67502997821,9323.57497002179
5434.625,1174.49375282006,9694.75624717994
5434.625,833.15734097365,10036.0926590263
5434.625,515.449155315046,10353.800844685
5434.625,217.05110356131,10652.1988964387
5434.625,-65.1807909952518,10934.4307909953
5434.625,-333.619976813259,11202.8699768133
5434.625,-590.110387251285,11459.3603872513
5434.625,-836.118405710712,11705.3684057107
5434.625,-1072.83297021624,11942.0829702162
5434.625,-1301.2339361712,12170.4839361712
5434.625,-1522.14019525159,12391.3901952516
5434.625,-1736.24442816074,12605.4944281607
5434.625,-1944.13876702743,12813.3887670274
5434.625,-2146.33411501067,13015.5841150107
5434.625,-2343.27494004357,13212.5249400436
5434.625,-2535.35077481866,13404.6007748187
5434.625,-2722.90527729979,13592.1552772998
5434.625,-2906.24345591808,13775.4934559181
5434.625,-3085.63749435989,13954.8874943599
5434.625,-3261.33149406448,14130.5814940645
5434.625,-3433.54537051774,14302.7953705177
5434.625,-3602.47808087693,14471.7280808769
5434.625,-3768.3103180527,14637.5603180527
5434.625,-3931.20677524176,14800.4567752418
5434.625,-4091.31806176532,14960.5680617653
5434.625,-4248.78233367451,15118.0323336745
5434.625,-4403.72668936991,15272.9766893699
5434.625,-4556.26837034453,15425.5183703445
5434.625,-4706.51579931152,15575.7657993115
5434.625,-4854.56948184974,15723.8194818497
5434.625,-5000.52279287738,15869.7727928774
5434.625,-5144.46266543978,16013.7126654398
5434.625,-5286.47019624402,16155.720196244
5434.625,-5426.62117991845,16295.8711799185
5434.625,-5564.9865819905,16434.2365819905
5434.625,-5701.63295896118,16570.8829589612
5434.625,-5836.62283253357,16705.8728325336
5434.625,-5970.01502396652,16839.2650239665
5434.625,-6101.86495362652,16971.1149536265
5434.625,-6232.22491006536,17101.4749100654
5434.625,-6361.14429232929,17230.3942923293
5434.625,-6488.6698286841,17357.9198286841
5434.625,-6614.84577450257,17484.0957745026
5434.625,-6739.71409169028,17608.9640916903
5434.625,-6863.31461171238,17732.5646117124
5434.625,-6985.68518401678,17854.9351840168
5434.625,-7106.86181142143,17976.1118114214
5434.625,-7226.8787738384,18096.1287738384
5434.625,-7345.76874153983,18215.0187415398
5434.625,-7463.56287902615,18332.8128790261
5434.625,-7580.29094043248,18449.5409404325
5434.625,-7695.98135730087,18565.2313573009
5434.625,-7810.66131945178,18679.9113194518
5434.625,-7924.35684960676,18793.6068496068
