"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
5120.2604143439,4473.11786923933,5767.40295944847,4130.54129935102,6109.97952933678
5039.52590900315,4162.71194617808,5916.33987182822,3698.55467188505,6380.49714612125
5013.47557716098,4059.89326528346,5967.0578890385,3555.09728180136,6471.85387252059
4996.48162724447,4022.88268409862,5970.08057039031,3507.49053608911,6485.47271839983
5007.5591160867,4029.4581505102,5985.66008166321,3511.68277578576,6503.43545638765
5063.22401522742,4083.91819520886,6042.52983524598,3565.50500907009,6560.94302138475
5144.72558759732,4164.79685879652,6124.65431639812,3646.053924667,6643.39725052764
5207.74735576566,4227.21167736299,6188.28303416833,3708.14744352249,6707.34726800883
5217.10571710543,4235.84829103444,6198.36314317643,3716.40198705744,6717.80944715343
5175.56299497447,4193.46890252509,6157.65708742385,3673.57969412122,6677.54629582772
5123.45826321788,4140.45363686913,6106.46288956663,3620.08242093481,6626.83410550096
5109.24060309644,4125.29050703978,6093.1906991531,3604.41878967511,6614.06241651777
5153.3357823378,4168.42903025826,6138.24253441735,3647.05088978578,6659.62067488983
5232.82086454537,4246.95698677482,6218.68474231592,3725.07217456726,6740.56955452348
5298.62078395948,4311.80259910353,6285.43896881543,3789.41260724055,6807.82896067841
5312.36363981156,4324.59410834932,6300.1331712738,3801.70050401391,6823.0267756092
5275.17388888419,4286.45524910891,6263.89252865946,3763.05921718194,6787.28856058643
5226.72804558292,4237.06185723353,6216.39423393231,3713.16422339092,6740.29186777493
5215.28178953666,4224.66919480919,6205.89438426412,3700.27056369298,6730.29301538033
5261.23542561554,4269.67736977126,6252.79348145982,3744.77824177255,6777.69260945853
5341.67168871529,4349.16904880892,6334.17432862167,3823.76988821242,6859.57348921816
5407.50872563765,4414.06236799724,6400.95508327806,3888.16363340934,6926.85381786596
5420.35215045052,4425.96294853798,6414.74135236306,3899.56510234147,6941.13919855957
5381.29674873437,4385.96558418429,6376.62791328445,3859.06909308834,6903.5244043804
5329.99066734366,4333.71842628031,6326.26290840701,3806.32375937076,6853.65757531656
5314.66791531728,4317.45548481784,6311.88034581672,3789.56311168498,6839.77271894957
5355.71643116658,4357.56469707325,6353.86816525991,3829.17508665363,6882.25777567953
5430.216780725,4431.12662661803,6429.30693483196,3902.24024665078,6958.19331479921
5489.09519207173,4489.06749892585,6489.1228852176,3959.68481577082,7018.50556837263
5493.97532569864,4493.01097184715,6494.93967955013,3963.13245046589,7024.81820093139
5445.97957731558,4444.07943851129,6447.87971611986,3913.70554249935,6978.25361213181
5384.79281965008,4381.95776913308,6387.62787016708,3851.08896075582,6918.49667854433
5358.6944158035,4354.92532434971,6362.46350725728,3823.56206456808,6893.82676703891
5388.12575008165,4383.42348603275,6392.82801413055,3851.56623451905,6924.68526564424
5450.2283331767,4444.59376245824,6455.86290389517,3912.24297760578,6988.21368874763
5495.99618705877,4489.43017319269,6502.56220092484,3956.58631212238,7035.40606199516
5487.12691167941,4479.63031579461,6494.62350756421,3946.29383436053,7027.95998899829
5424.82223784536,4416.39591868781,6433.24855700291,3882.56727148263,6967.07720420809
5348.85098101831,4339.49579496146,6358.20616707516,3805.1754353219,6892.52652671473
5307.58023751811,4297.29703857344,6317.86343646278,3762.48541858587,6852.67505645036
5321.54207803442,4310.33171786217,6332.75243820668,3775.02928836829,6868.05486770056
5367.97080419116,4355.83413211106,6380.10747627127,3820.04134271356,6915.90026566876
5397.95448218236,4384.89234518433,6411.0166191804,3848.6096442526,6947.29932011213
5373.28516397496,4359.29840672976,6387.27192122017,3822.52624140549,6924.04408654443
5295.25860850442,4280.34807337422,6310.16914363461,3743.08688957702,6847.43032743181
5203.73642529932,4187.90295234822,6219.56989825041,3650.15319478115,6757.31965581748
5147.1764892419,4130.42091624635,6163.93206223745,3592.18302840147,6702.16995008232
5146.19888808919,4128.52205054835,6163.87572563003,3589.7964747122,6702.60130146618
5178.12247465607,4159.5252058021,6196.71974351004,3620.31238306116,6735.93256625098
5194.11574322776,4174.59887403609,6213.63261241943,3634.89924428216,6753.33224217336
5156.04644560251,4135.61080480197,6176.48208640306,3595.4248067376,6716.66808446743
5065.28076342476,4043.9271775077,6086.63434934182,3503.2552486515,6627.30627819801
4961.74496279009,3939.47425602242,5984.01566955775,3398.31683271442,6525.17309286575
4893.95538267605,3870.76837710723,5917.14238824487,3329.12589451412,6458.78487083798
4882.58402097116,3858.48153644409,5906.68650549823,3316.35442856449,6448.81361337783
4904.99479145871,3879.97764561961,5930.01193729782,3337.36634528928,6472.62323762815
4912.39417210049,3886.46318040867,5938.32516379232,3343.36811930569,6481.42022489529
4866.68066014232,3839.83663587992,5893.52468440473,3296.25824452987,6437.10307575478
4769.24385019393,3741.48760447561,5797.00009591226,3197.42631225663,6341.06138813124
