"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
4700.20289138944,4478.04755864462,4922.35822413426,4360.44562928635,5039.96015349253
4838.28141496988,4434.84475234659,5241.71807759317,4221.27828373132,5455.28454620844
5011.8611875673,4455.59724105004,5568.12513408456,4161.12889525517,5862.59347987942
5162.88354875699,4490.44740946501,5835.31968804897,4134.48121961984,6191.28587789414
5304.11028055587,4537.60104676798,6070.61951434376,4131.8355688448,6476.38499226694
5503.53435326,4664.11728059958,6342.95142592042,4219.75672413018,6787.31198238983
5774.60583661221,4881.25355385376,6667.95811937065,4408.34142182908,7140.87025139533
5852.96798804527,4922.66308375985,6783.27289233069,4430.18941552209,7275.74656056846
5724.9529786016,4771.7503973804,6678.1555598228,4267.15543116523,7182.75052603797
5493.14966072623,4527.82624274825,6458.47307870421,4016.81489313853,6969.48442831393
5246.20450844252,4275.91609449958,6216.49292238547,3762.27643479025,6730.1325820948
5055.69642422526,4084.27331858776,6027.11952986275,3570.03298937904,6541.35985907147
4904.8931709174,3933.46709207106,5876.31924976374,3419.22518894064,6390.56115289416
4763.59344979005,3791.5881509263,5735.59874865379,3277.03962724023,6250.14727233987
4666.95438385498,3693.14144278901,5640.76732492094,3177.63601112353,6156.27275658642
4672.00360289467,3695.38868108485,5648.61852470449,3178.39997041171,6165.60723537763
4821.27488533084,3841.57517174817,5800.97459891351,3322.95347095197,6319.5962997097
5116.30995364555,4134.05134317072,6098.56856412039,3614.07504418491,6618.5448631062
5282.21930418411,4298.3993930971,6266.03921527112,3777.59659149247,6786.84201687576
5333.76794912076,4349.4073450288,6318.12855321272,3828.31831783693,6839.21758040459
5407.60313978425,4423.22705763766,6391.97922193084,3902.12983685861,6913.07644270989
5368.84556544202,4384.1762425616,6353.51488832244,3862.92378951493,6874.7673413691
5188.61502052135,4202.52870019848,6174.70134084421,3680.5261340167,6696.70390702599
4995.50558393902,4006.25918695843,5984.75198091961,3482.58377724291,6508.42739063513
4897.04408271455,3902.75200583741,5891.33615959168,3376.40557452891,6417.68259090019
4927.59770893596,3926.73544834477,5928.45996952715,3396.91097187091,6458.28444600101
