"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
4578.97115950745,4448.62041122567,4709.32190778923,4379.61689327349,4778.32542574141
4628.817027412,4407.78053191507,4849.85352290894,4290.7708792191,4966.86317560491
4795.91774924392,4486.13250801065,5105.70299047719,4322.14210721485,5269.693391273
5025.95120243093,4629.2013227872,5422.70108207465,4419.17462326,5632.72778160185
5304.58188143989,4823.2401895794,5785.92357330038,4568.43328963255,6040.73047324722
5567.18448601521,5004.05589775641,6130.31307427402,4705.95363013224,6428.41534189819
5753.1863376388,5111.30306964476,6395.06960563283,4771.51059288438,6734.86208239321
6137.91086417513,5420.37735551995,6855.4443728303,5040.53806039943,7235.28366795082
6221.70557726603,5431.59413595869,7011.81701857337,5013.33440409568,7430.07675043638
5623.44093818833,4763.72583880075,6483.15603757592,4308.62015604611,6938.26172033056
5056.40550607896,4129.92407414185,5982.88693801607,3639.47442990321,6473.33658225472
4741.8675108639,3751.2995429603,5732.4354787675,3226.92453585762,6256.81048587017
4285.10078838774,3232.96016375741,5337.24141301808,2675.99056107464,5894.21101570085
4069.07827281766,2957.71249172115,5180.44405391418,2369.39098503089,5768.76556060444
4009.56337584422,2841.15809727361,5177.96865441483,2222.64170455609,5796.48504713236
4112.82772964926,2889.41431490996,5336.24114438857,2241.778373884,5983.87708541453
4565.74935925299,3289.21407555765,5842.28464294834,2613.457115769,6518.04160273699
5206.8288052644,3878.92279121087,6534.73481931793,3175.97180943759,7237.68580109121
5303.65363166736,3926.0030353725,6681.30422796222,3196.71886242878,7410.58840090594
5323.47766912451,3897.59358232731,6749.36175592171,3142.77614186003,7504.17919638899
5313.19273997693,3840.4806970338,6785.90478292007,3060.87403398688,7565.51144596699
5244.564374464,3726.3332842333,6762.7954646947,2922.63029310175,7566.49845582625
5081.6123160975,3519.08276142217,6644.14187077283,2691.92957973283,7471.29505246218
4931.72871575438,3326.04059947491,6537.41683203385,2476.04065534118,7387.41677616758
4911.96377551938,3264.18332058115,6559.74423045761,2391.90103833601,7432.02651270274
4981.99970758722,3293.12583667348,6670.87357850096,2399.09001404318,7564.90940113126
5107.29754521828,3378.26767582434,6836.32741461222,2462.97455165539,7751.62053878118
5353.94726902407,3585.64256535971,7122.25197268842,2649.55859980801,8058.33593824012
5544.93719032631,3738.18731555028,7351.68706510234,2781.75170576218,8308.12267489044
5939.3706379295,4094.9580501413,7783.7832257177,3118.58500441425,8760.15627144476
6320.71236190505,4439.3761958495,8202.04852796061,3443.45698848229,9197.96773532781
6987.37611744519,5069.81569158121,8904.93654330916,4054.72051940411,9920.03171548627
7175.1709202913,5222.0489061185,9128.29293446409,4188.12856623334,10162.2132743493
6634.31949422355,4646.26478180491,8622.37420664219,3593.85218850119,9674.78679994591
5958.86572515985,3936.47601579631,7981.2554345234,2865.88757303022,9051.84387728948
5602.43225466164,3546.27640877339,7658.5881005499,2457.81325306111,8747.05125626218
5349.16765079937,3259.78781631568,7438.54748528306,2153.73694343485,8544.59835816389
5199.05378526861,3076.96732926077,7321.14024127645,1953.60261679524,8444.50495374198
5022.31787133364,2868.01913526167,7176.61660740561,1727.60227177296,8317.03347089433
5009.71880687207,2823.68070365967,7195.75691008446,1666.46203412738,8352.97557961675
5289.90424478205,3072.57971398186,7507.22877558224,1898.79901012163,8681.00947944246
6011.93980768507,3763.76314323789,8260.11647213226,2573.6503063747,9450.22930899545
6191.59977869802,3912.98784221326,8470.21171518277,2706.76354555328,9676.43601184275
6204.52992468434,3895.88325575989,8513.1765936088,2673.75953215828,9735.30031721041
6255.52230215567,3917.22613599913,8593.81846831222,2679.40691665626,9831.63768765509
6175.34660213994,3807.7718036361,8542.92140064378,2554.45341256293,9796.23979171695
5867.8519732877,3471.35589566376,8264.34805091163,2202.72750423179,9532.9764423436
5685.90001811728,3260.82729347639,8110.97274275816,1977.07133890083,9394.72869733372
5796.61770875523,3343.3009769672,8249.93444054327,2044.59354815838,9548.64186935209
5941.2706353024,3460.03121704722,8422.51005355757,2146.54241089838,9735.99885970641
6130.74893253092,3621.89745167678,8639.60041338505,2293.79170253099,9967.70616253084
6397.8726571281,3861.70961708021,8934.03569717599,2519.14600183108,10276.5993124251
6669.7787412794,4106.5950594534,9232.96242310539,2749.72758047818,10589.8299020806
7019.5756674644,4429.65317160928,9609.49816331952,3058.63101950637,10980.5203154224
7412.10439457608,4795.71628429107,10028.4925048611,3410.68408219228,11413.5247069599
7650.44759974381,5007.85887619582,10293.0363232918,3608.95690724504,11691.9382922426
7299.30082594148,4630.76869248913,9967.83295939383,3218.1331119199,11380.4685399631
6482.15451294664,3787.9287491097,9176.38027678358,2361.69178221265,10602.6172436806
5716.8357542269,2997.15906520189,8436.51244325191,1557.44919234716,9876.22231610664
5349.62874666264,2604.73709037309,8094.5204029522,1151.67922014022,9547.57827318506
5045.3428762782,2275.46576975866,7815.21998279774,809.181401126563,9281.50435142984
4760.41719635195,1965.77800309588,7555.05638960802,486.385377555543,9034.44901514836
4592.59498129646,1773.41118104646,7411.77878154645,281.02542541935,8904.16453717356
4689.76138496428,1846.24482728808,7533.27794264049,340.97808796107,9038.5446819675
5132.12163698829,2264.47877986194,7999.76449411463,746.440349085737,9517.80292489084
6162.57755833529,3271.00969284665,9054.14542382392,1740.30612768652,10584.8489889841
6481.89128259899,3566.59474478588,9397.18782041211,2023.32997926206,10940.4525859359
6599.9407070392,3661.10707778904,9538.77433628935,2105.38252869723,11094.4988853812
6539.78204221249,3577.59833607061,9501.96574835437,2009.51300293098,11070.051081494
6277.75931562074,3292.40815928273,9263.11047195876,1712.05871882812,10843.4599124134
6044.62827046108,3036.28807166019,9052.96846926197,1443.7689672397,10645.4875736825
5837.59217223295,2806.43727967481,8868.74706479108,1201.8408059181,10473.3435385478
5816.79446047003,2762.995315414,8870.59360552606,1146.41169847361,10487.1772224664
5898.6509144632,2822.37419450167,8974.92763442472,1193.89166816523,10603.4101607612
5907.16337894206,2808.57213448553,9005.7546233986,1168.27701242652,10646.0497454576
5877.68400496817,2756.93778890402,8998.43022103233,1104.91453331906,10650.4534766173
5965.26532315087,2822.52031410811,9108.01033219364,1158.85160096932,10771.6790453324
6323.23224580171,3158.64136542074,9487.82312618268,1483.40814655461,11163.0563450488
6739.32547951287,3553.03850408963,9925.61245493612,1866.32006627788,11612.3308927479
