"Point.Forecast","Lo.0.95","Hi.0.95"
3048.5,2078.62539118225,4018.37460881775
3048.5,1676.89017440863,4420.10982559137
3048.5,1368.62790055666,4728.37209944334
3048.5,1108.75078236449,4988.24921763551
3048.5,879.794445032484,5217.20555496752
3048.5,672.802093915063,5424.19790608494
3048.5,482.452982152169,5614.54701784783
3048.5,305.280348817263,5791.71965118274
3048.5,138.876173546736,5958.12382645326
3048.5,-18.5128086289307,6115.51280862893
3048.5,-168.210171141211,6265.21017114121
3048.5,-311.244198886682,6408.24419888668
3048.5,-448.432632862993,6545.43263286299
3048.5,-580.438494327439,6677.43849432744
3048.5,-707.808207860597,6804.8082078606
3048.5,-830.998435271019,6927.99843527102
3048.5,-950.395455760212,7047.39545576021
3048.5,-1066.32947677411,7163.32947677411
3048.5,-1179.08540774263,7276.08540774263
3048.5,-1288.91110993503,7385.91110993503
3048.5,-1396.02380952305,7493.02380952305
3048.5,-1500.61515025138,7597.61515025138
3048.5,-1602.85522262878,7699.85522262878
3048.5,-1702.89581216987,7799.89581216988
3048.5,-1800.87304408877,7897.87304408877
3048.5,-1896.9095560999,7993.9095560999
3048.5,-1991.11629833002,8088.11629833002
3048.5,-2083.59403569566,8180.59403569566
3048.5,-2174.43461073872,8271.43461073872
3048.5,-2263.72201200983,8360.72201200983
3048.5,-2351.5332833892,8448.5332833892
3048.5,-2437.93930236547,8534.93930236547
3048.5,-2523.00544964016,8620.00544964016
3048.5,-2606.79218804823,8703.79218804823
3048.5,-2689.35556536837,8786.35556536837
3048.5,-2770.74765290653,8867.74765290653
3048.5,-2851.01692960428,8948.01692960428
3048.5,-2930.20861972023,9027.20861972023
3048.5,-3008.36499076431,9105.3649907643
3048.5,-3085.52561725786,9182.52561725786
3048.5,-3161.72761499167,9258.72761499167
3048.5,-3237.00584971763,9334.00584971763
3048.5,-3311.39312360388,9408.39312360388
3048.5,-3384.92034228242,9481.92034228242
3048.5,-3457.61666490255,9554.61666490255
3048.5,-3529.50963925655,9626.50963925655
3048.5,-3600.6253237536,9697.6253237536
3048.5,-3670.98839777336,9767.98839777336
3048.5,-3740.62226172428,9837.62226172428
3048.5,-3809.54912795684,9906.54912795684
