"date","load"
2011-01-01,5361.792305687
2011-01-02,5434.06356364085
2011-01-03,5612.9760844596
2011-01-04,5511.36221626068
2011-01-05,5369.34880886247
2011-01-06,5517.67801173265
2011-01-07,5334.50059935778
2011-01-08,5481.17494997502
2011-01-09,5471.17818117924
2011-01-10,5466.84831954238
2011-01-11,5351.35476607231
2011-01-12,5291.55083166631
2011-01-13,5469.39736410282
2011-01-14,5454.41410666275
2011-01-15,5494.4375897547
2011-01-16,5537.73737106968
2011-01-17,5526.6187934268
2011-01-18,5436.6075710483
2011-01-19,5376.78254539584
2011-01-20,5520.76204907459
2011-01-21,5343.12575288914
2011-01-22,5305.522629193
2011-01-23,5265.97819326341
2011-01-24,5304.2540956133
2011-01-25,5388.28583799637
2011-01-26,5286.99788469665
2011-01-27,5304.49643947223
2011-01-28,5102.46233323423
2011-01-29,5117.1519777028
2011-01-30,5266.05363399733
2011-01-31,5318.73488329016
2011-02-01,5216.5889259446
2011-02-02,5108.38075742984
2011-02-03,5134.71371848272
2011-02-04,5097.25401708164
2011-02-05,5225.51493412263
2011-02-06,5070.26297628567
2011-02-07,5142.19077633619
2011-02-08,5091.27866970669
2011-02-09,5017.6602288356
2011-02-10,5126.8364248475
2011-02-11,4963.80251621602
2011-02-12,4961.38300498209
2011-02-13,5018.76069245989
2011-02-14,5083.71418796707
2011-02-15,5052.16203394083
2011-02-16,5003.38705348841
2011-02-17,5063.30317784271
2011-02-18,5040.19307722696
2011-02-19,5013.22852226771
2011-02-20,5012.9666753027
2011-02-21,5025.17503625105
2011-02-22,4992.65603026208
2011-02-23,4990.72626364392
2011-02-24,5042.65422194312
2011-02-25,4921.4807802561
2011-02-26,5049.81184935012
2011-02-27,4993.82314908299
2011-02-28,5036.98631268475
