"date","load"
2011-01-01,5025.19525591604
2011-01-02,4953.63115404928
2011-01-03,5244.90979552328
2011-01-04,5264.05577350636
2011-01-05,5219.50896808061
2011-01-06,5124.59497005384
2011-01-07,4825.51048555365
2011-01-08,4995.14615921656
2011-01-09,5023.13627303843
2011-01-10,5076.65088884795
2011-01-11,4974.42206939449
2011-01-12,4913.33528988285
2011-01-13,5020.68011403041
2011-01-14,4841.38225068109
2011-01-15,4969.32272018828
2011-01-16,5227.07625467823
2011-01-17,5284.60485280708
2011-01-18,5076.10431908316
2011-01-19,4957.68832106849
2011-01-20,5022.88722713342
2011-01-21,4764.76563218489
2011-01-22,4858.64532111191
2011-01-23,4857.99095783277
2011-01-24,4807.61203901755
2011-01-25,5245.29274386923
2011-01-26,5351.51381285588
2011-01-27,5241.43864801132
2011-01-28,4684.38438704266
2011-01-29,4836.24706533489
2011-01-30,5437.82985582102
2011-01-31,5525.38766478656
2011-02-01,5522.98280310666
2011-02-02,5489.82230340493
2011-02-03,5683.22831468203
2011-02-04,5833.04532179142
2011-02-05,5964.00560402267
2011-02-06,5716.54688066778
2011-02-07,5637.38590906934
2011-02-08,5381.54181775167
2011-02-09,5137.41639518525
2011-02-10,5748.1828417869
2011-02-11,5848.92674077776
2011-02-12,5850.87141751701
2011-02-13,5597.55814703381
2011-02-14,5482.70980081764
2011-02-15,5524.2885284026
2011-02-16,5486.62244688288
2011-02-17,5669.57849824755
2011-02-18,5524.48842972801
2011-02-19,5269.0228096741
2011-02-20,5463.65588682208
2011-02-21,5586.92269731261
2011-02-22,5467.56136184309
2011-02-23,5649.71917366972
2011-02-24,5777.63005123108
2011-02-25,5583.26225354554
2011-02-26,5661.37767584793
2011-02-27,5544.56242234929
2011-02-28,5302.48071639891
