"date","load"
2011-01-01,5004.15249530219
2011-01-02,5024.39881269744
2011-01-03,5219.85804503446
2011-01-04,5273.99918530653
2011-01-05,5282.81122846981
2011-01-06,5187.12592591843
2011-01-07,5026.91226639895
2011-01-08,5203.58214081657
2011-01-09,5286.79372869229
2011-01-10,5356.13532572364
2011-01-11,5340.24151585294
2011-01-12,5351.29443182145
2011-01-13,5407.32011807596
2011-01-14,5348.029727082
2011-01-15,5536.28498635837
2011-01-16,5727.04656531079
2011-01-17,5817.77383577261
2011-01-18,5737.69843975827
2011-01-19,5714.0801091921
2011-01-20,5805.6414707865
2011-01-21,5693.97415347553
2011-01-22,5868.01080736032
2011-01-23,5880.40111715385
2011-01-24,5852.15933026668
2011-01-25,6208.21680849362
2011-01-26,6334.61251395513
2011-01-27,6323.46549219086
2011-01-28,5989.95520750509
2011-01-29,6208.29627392746
2011-01-30,6648.30113427272
2011-01-31,6715.43416547884
2011-02-01,6737.11080344346
2011-02-02,6736.29246340502
2011-02-03,6917.03632093384
2011-02-04,7075.97199404002
2011-02-05,7280.85249857934
2011-02-06,7121.52438908916
2011-02-07,7071.71475086891
2011-02-08,6908.30764785991
2011-02-09,6754.73271634443
2011-02-10,7224.03786486271
2011-02-11,7318.21566901368
2011-02-12,7402.74760360564
2011-02-13,7220.9239808102
2011-02-14,7134.70740935942
2011-02-15,7172.26986281979
2011-02-16,7160.20543187133
2011-02-17,7312.82688110119
2011-02-18,7218.21093580371
2011-02-19,7097.6627262791
2011-02-20,7222.83813171764
2011-02-21,7295.48757225195
2011-02-22,7208.58963674985
2011-02-23,7349.73663703224
2011-02-24,7461.86763730085
2011-02-25,7323.44057612242
2011-02-26,7427.17940998021
2011-02-27,7314.09242605524
2011-02-28,7110.60453936879
