"date","load"
2011-01-01,5049.06172182449
2011-01-02,5080.84153998271
2011-01-03,5280.02224829718
2011-01-04,5336.59109570017
2011-01-05,5343.82064045742
2011-01-06,5240.18320945737
2011-01-07,5068.32646817076
2011-01-08,5235.99323285005
2011-01-09,5317.86791196294
2011-01-10,5393.14418358443
2011-01-11,5384.69390682181
2011-01-12,5397.77791709338
2011-01-13,5447.5042920277
2011-01-14,5376.8588892898
2011-01-15,5555.71416007844
2011-01-16,5744.51247390914
2011-01-17,5840.55256593201
2011-01-18,5767.39800467499
2011-01-19,5745.41485354401
2011-01-20,5830.41140998428
2011-01-21,5707.25319794478
2011-01-22,5871.88456084066
2011-01-23,5882.44009566092
2011-01-24,5859.77765187605
2011-01-25,6223.16457030167
2011-01-26,6351.74924033838
2011-01-27,6334.73814488135
2011-01-28,5990.5849531158
2011-01-29,6200.51481791722
2011-01-30,6639.82251631577
2011-01-31,6713.81208300519
2011-02-01,6744.22968635059
2011-02-02,6747.1396897188
2011-02-03,6923.67907092218
2011-02-04,7073.74294644335
2011-02-05,7272.08518614237
2011-02-06,7114.0241159921
2011-02-07,7073.11514546243
2011-02-08,6920.56107914301
2011-02-09,6772.88196812756
2011-02-10,7240.19256800065
2011-02-11,7327.73769698638
2011-02-12,7407.98624900816
2011-02-13,7229.68681452806
2011-02-14,7154.61689385878
2011-02-15,7205.25394491988
2011-02-16,7201.26950483677
2011-02-17,7354.03061137417
2011-02-18,7254.85415370998
2011-02-19,7132.02119153228
2011-02-20,7262.63506806014
2011-02-21,7348.25103461985
2011-02-22,7276.14392777984
2011-02-23,7426.97515379281
2011-02-24,7540.73063430497
2011-02-25,7399.10203448546
2011-02-26,7501.78381396585
2011-02-27,7395.22733174919
2011-02-28,7205.65898934109
